developer,mensaje
Haemimont Games,"Haemimont Games : Negative = 33, Neutral = 7, Positive = 5"
"Haemimont Games,Feral Interactive (Mac)","Haemimont Games,Feral Interactive (Mac) : Negative = 0, Neutral = 0, Positive = 1"
Halfbus,"Halfbus : Negative = 2, Neutral = 1, Positive = 0"
Halycon Media GmbH &amp; Co. KG,"Halycon Media GmbH &amp; Co. KG : Negative = 0, Neutral = 1, Positive = 0"
Hammer Labs,"Hammer Labs : Negative = 1, Neutral = 0, Positive = 0"
Hammerfall Publishing,"Hammerfall Publishing : Negative = 4, Neutral = 0, Positive = 0"
Hanako Games,"Hanako Games : Negative = 9, Neutral = 4, Positive = 0"
HandMade Game,"HandMade Game : Negative = 0, Neutral = 1, Positive = 0"
Handyman Studios,"Handyman Studios : Negative = 3, Neutral = 6, Positive = 1"
Hardsuit Labs,"Hardsuit Labs : Negative = 89, Neutral = 27, Positive = 24"
Harebrained Schemes,"Harebrained Schemes : Negative = 9, Neutral = 0, Positive = 0"
Harvester Games,"Harvester Games : Negative = 1, Neutral = 0, Positive = 1"
"Hassey Enterprises, Inc.","Hassey Enterprises, Inc. : Negative = 1, Neutral = 1, Positive = 4"
HeR Interactive,"HeR Interactive : Negative = 1, Neutral = 1, Positive = 0"
Headup Games / Crenetic,"Headup Games / Crenetic : Negative = 1, Neutral = 1, Positive = 0"
Headup Games / Radon Labs,"Headup Games / Radon Labs : Negative = 0, Neutral = 1, Positive = 0"
Heartbit Interactive,"Heartbit Interactive : Negative = 1, Neutral = 0, Positive = 0"
Hellbent Games,"Hellbent Games : Negative = 1, Neutral = 0, Positive = 0"
Hello There AB,"Hello There AB : Negative = 6, Neutral = 1, Positive = 0"
Hemisphere Games,"Hemisphere Games : Negative = 1, Neutral = 1, Positive = 0"
"Henrique Pegacha,Rafael Lima,Nuno Guerreiro","Henrique Pegacha,Rafael Lima,Nuno Guerreiro : Negative = 0, Neutral = 1, Positive = 0"
Hesketh Studios,"Hesketh Studios : Negative = 4, Neutral = 1, Positive = 1"
Hexage,"Hexage : Negative = 1, Neutral = 0, Positive = 0"
Heydeck Games,"Heydeck Games : Negative = 1, Neutral = 1, Positive = 0"
Hi-Rez Studios,"Hi-Rez Studios : Negative = 51, Neutral = 21, Positive = 18"
Hidden Path Entertainment,"Hidden Path Entertainment : Negative = 8, Neutral = 1, Positive = 0"
Hinterland Studio Inc.,"Hinterland Studio Inc. : Negative = 19, Neutral = 8, Positive = 3"
Hippomancer,"Hippomancer : Negative = 1, Neutral = 0, Positive = 0"
Hitbox Team,"Hitbox Team : Negative = 3, Neutral = 1, Positive = 1"
Hitcents,"Hitcents : Negative = 3, Neutral = 1, Positive = 2"
Holotech Studios,"Holotech Studios : Negative = 7, Neutral = 2, Positive = 1"
Holy Priest,"Holy Priest : Negative = 11, Neutral = 1, Positive = 1"
"Holy Warp,Black Wing Foundation","Holy Warp,Black Wing Foundation : Negative = 0, Neutral = 1, Positive = 1"
Hoobalugalar_X,"Hoobalugalar_X : Negative = 8, Neutral = 4, Positive = 4"
"Hopoo Games, LLC","Hopoo Games, LLC : Negative = 69, Neutral = 15, Positive = 19"
Hosted Games,"Hosted Games : Negative = 2, Neutral = 1, Positive = 0"
Hothead Games,"Hothead Games : Negative = 1, Neutral = 3, Positive = 0"
House of Tales,"House of Tales : Negative = 1, Neutral = 0, Positive = 0"
Housemarque,"Housemarque : Negative = 1, Neutral = 0, Positive = 0"
Humble Hearts LLC,"Humble Hearts LLC : Negative = 29, Neutral = 7, Positive = 3"
Humongous Entertainment,"Humongous Entertainment : Negative = 8, Neutral = 2, Positive = 2"
HuniePot,"HuniePot : Negative = 21, Neutral = 11, Positive = 9"
Hunted Cow Studios,"Hunted Cow Studios : Negative = 5, Neutral = 1, Positive = 0"
Hydravision Entertainment,"Hydravision Entertainment : Negative = 3, Neutral = 0, Positive = 0"
Hyper Hippo Games,"Hyper Hippo Games : Negative = 47, Neutral = 18, Positive = 46"
HyperSloth,"HyperSloth : Negative = 1, Neutral = 5, Positive = 0"
Hypercane Studios,"Hypercane Studios : Negative = 0, Neutral = 1, Positive = 0"
Hörberg Productions,"Hörberg Productions : Negative = 2, Neutral = 0, Positive = 1"
I Fight Bears,"I Fight Bears : Negative = 1, Neutral = 1, Positive = 0"
ICE Entertainment,"ICE Entertainment : Negative = 4, Neutral = 0, Positive = 0"
"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.","IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd. : Negative = 17, Neutral = 3, Positive = 5"
IDHAS Studios,"IDHAS Studios : Negative = 1, Neutral = 0, Positive = 0"
IF Studios,"IF Studios : Negative = 0, Neutral = 1, Positive = 0"
IMGN.PRO,"IMGN.PRO : Negative = 0, Neutral = 1, Positive = 0"
IO Entertainment,"IO Entertainment : Negative = 1, Neutral = 0, Positive = 1"
IO Interactive,"IO Interactive : Negative = 5, Neutral = 1, Positive = 1"
IPACS,"IPACS : Negative = 1, Neutral = 0, Positive = 0"
Ian Campbell,"Ian Campbell : Negative = 7, Neutral = 2, Positive = 0"
Ice Water Games,"Ice Water Games : Negative = 7, Neutral = 3, Positive = 3"
Ice-Pick Lodge,"Ice-Pick Lodge : Negative = 3, Neutral = 1, Positive = 0"
Icetesy SPRL,"Icetesy SPRL : Negative = 4, Neutral = 3, Positive = 0"
Idea Factory,"Idea Factory : Negative = 3, Neutral = 1, Positive = 1"
"Idea Factory,Compile Heart","Idea Factory,Compile Heart : Negative = 0, Neutral = 1, Positive = 0"
"Idea Factory,Compile Heart,Felistella","Idea Factory,Compile Heart,Felistella : Negative = 1, Neutral = 1, Positive = 6"
"Idea Factory,Design Factory","Idea Factory,Design Factory : Negative = 1, Neutral = 0, Positive = 0"
Idigicon,"Idigicon : Negative = 2, Neutral = 1, Positive = 0"
Idol FX,"Idol FX : Negative = 0, Neutral = 2, Positive = 1"
Igry.ru,"Igry.ru : Negative = 1, Neutral = 0, Positive = 0"
"Iguana Entertainment,Nightdive Studios","Iguana Entertainment,Nightdive Studios : Negative = 1, Neutral = 0, Positive = 0"
IllFonic,"IllFonic : Negative = 1, Neutral = 0, Positive = 0"
Illwinter Game Design,"Illwinter Game Design : Negative = 1, Neutral = 0, Positive = 0"
Imaekgames [Imaek Limited],"Imaekgames [Imaek Limited] : Negative = 0, Neutral = 1, Positive = 0"
Image &amp; Form,"Image &amp; Form : Negative = 2, Neutral = 0, Positive = 0"
Immersive Douro,"Immersive Douro : Negative = 0, Neutral = 0, Positive = 1"
Incandescent Games,"Incandescent Games : Negative = 0, Neutral = 1, Positive = 0"
Infinite Interactive,"Infinite Interactive : Negative = 2, Neutral = 1, Positive = 0"
Infinite Monkeys Entertainment Ltd.,"Infinite Monkeys Entertainment Ltd. : Negative = 1, Neutral = 0, Positive = 0"
Infinity Plus 2,"Infinity Plus 2 : Negative = 2, Neutral = 0, Positive = 0"
Infinity Ward,"Infinity Ward : Negative = 49, Neutral = 32, Positive = 16"
"Infinity Ward,Aspyr (Mac)","Infinity Ward,Aspyr (Mac) : Negative = 57, Neutral = 17, Positive = 24"
Ino-Co,"Ino-Co : Negative = 1, Neutral = 0, Positive = 0"
Ino-Co Plus,"Ino-Co Plus : Negative = 1, Neutral = 0, Positive = 1"
Instant Kingdom,"Instant Kingdom : Negative = 0, Neutral = 1, Positive = 0"
Insurgency Development Team,"Insurgency Development Team : Negative = 2, Neutral = 1, Positive = 1"
InterAction studios,"InterAction studios : Negative = 0, Neutral = 0, Positive = 1"
Interceptor Entertainment,"Interceptor Entertainment : Negative = 6, Neutral = 1, Positive = 1"
Interdimensional Games Inc,"Interdimensional Games Inc : Negative = 1, Neutral = 0, Positive = 0"
Interplay Inc.,"Interplay Inc. : Negative = 3, Neutral = 1, Positive = 3"
Introversion Software,"Introversion Software : Negative = 70, Neutral = 27, Positive = 16"
Invent4 Entertainment,"Invent4 Entertainment : Negative = 36, Neutral = 28, Positive = 21"
InvertMouse,"InvertMouse : Negative = 12, Neutral = 1, Positive = 1"
Io-Interactive A/S,"Io-Interactive A/S : Negative = 10, Neutral = 3, Positive = 5"
"Io-Interactive A/S,Feral Interactive (Mac)","Io-Interactive A/S,Feral Interactive (Mac) : Negative = 42, Neutral = 11, Positive = 12"
Ion Storm,"Ion Storm : Negative = 13, Neutral = 3, Positive = 3"
IonFX,"IonFX : Negative = 1, Neutral = 0, Positive = 0"
IonFx,"IonFx : Negative = 0, Neutral = 1, Positive = 0"
Iridium Studios,"Iridium Studios : Negative = 6, Neutral = 0, Positive = 0"
"Iron Galaxy Studios, LLC","Iron Galaxy Studios, LLC : Negative = 2, Neutral = 2, Positive = 1"
Iron Tower Studio,"Iron Tower Studio : Negative = 1, Neutral = 0, Positive = 0"
"Ironclad Games,Stardock Entertainment","Ironclad Games,Stardock Entertainment : Negative = 16, Neutral = 6, Positive = 0"
Ironhide Game Studio,"Ironhide Game Studio : Negative = 11, Neutral = 1, Positive = 1"
Ironsun Studios,"Ironsun Studios : Negative = 1, Neutral = 0, Positive = 0"
Irrational Games,"Irrational Games : Negative = 0, Neutral = 1, Positive = 0"
"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)","Irrational Games,Aspyr (Mac),Virtual Programming (Linux) : Negative = 170, Neutral = 32, Positive = 47"
"Irrational Games,Looking Glass Studios","Irrational Games,Looking Glass Studios : Negative = 2, Neutral = 4, Positive = 0"
Italic Pig,"Italic Pig : Negative = 1, Neutral = 0, Positive = 0"
Ivory Tower in collaboration with Ubisoft Reflections,"Ivory Tower in collaboration with Ubisoft Reflections : Negative = 5, Neutral = 2, Positive = 7"
JForce Games,"JForce Games : Negative = 12, Neutral = 1, Positive = 2"
JIW-Games,"JIW-Games : Negative = 2, Neutral = 0, Positive = 1"
"Jackbox Games, Inc.","Jackbox Games, Inc. : Negative = 5, Neutral = 0, Positive = 0"
Jae Lee Productions,"Jae Lee Productions : Negative = 0, Neutral = 0, Positive = 1"
Jagex Limited,"Jagex Limited : Negative = 65, Neutral = 35, Positive = 30"
"Jagex,Artplant","Jagex,Artplant : Negative = 14, Neutral = 12, Positive = 9"
Jarhead Games,"Jarhead Games : Negative = 0, Neutral = 1, Positive = 0"
Jason Oda,"Jason Oda : Negative = 1, Neutral = 0, Positive = 0"
Jason Rohrer,"Jason Rohrer : Negative = 0, Neutral = 1, Positive = 1"
Jasper Byrne,"Jasper Byrne : Negative = 2, Neutral = 0, Positive = 0"
"Jetdogs Studios,Zoom Out Games","Jetdogs Studios,Zoom Out Games : Negative = 1, Neutral = 2, Positive = 0"
JoWooD Vienna,"JoWooD Vienna : Negative = 0, Neutral = 1, Positive = 0"
Johannes Eski,"Johannes Eski : Negative = 2, Neutral = 1, Positive = 2"
John Cullen,"John Cullen : Negative = 1, Neutral = 0, Positive = 0"
Joshua Neurnberger,"Joshua Neurnberger : Negative = 1, Neutral = 0, Positive = 0"
Joycity,"Joycity : Negative = 4, Neutral = 4, Positive = 3"
Jujubee S.A.,"Jujubee S.A. : Negative = 1, Neutral = 0, Positive = 0"
JumpCore Productions,"JumpCore Productions : Negative = 1, Neutral = 0, Positive = 0"
"JumpStart Games, Inc.","JumpStart Games, Inc. : Negative = 4, Neutral = 3, Positive = 2"
"Jundroo, LLC","Jundroo, LLC : Negative = 1, Neutral = 3, Positive = 0"
"Jurlo,JetPackGone","Jurlo,JetPackGone : Negative = 1, Neutral = 0, Positive = 0"
"Just Add Water (Developments), Ltd.","Just Add Water (Developments), Ltd. : Negative = 4, Neutral = 0, Positive = 0"
KADOKAWA,"KADOKAWA : Negative = 6, Neutral = 1, Positive = 2"
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,"KADOKAWA GAMES / GRASSHOPPER MANUFACTURE : Negative = 2, Neutral = 1, Positive = 0"
"KADOKAWA,Yoji Ojima","KADOKAWA,Yoji Ojima : Negative = 2, Neutral = 0, Positive = 0"
KING Art,"KING Art : Negative = 1, Neutral = 0, Positive = 0"
KITATUS STUDIOS,"KITATUS STUDIOS : Negative = 0, Neutral = 2, Positive = 0"
"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD. : Negative = 8, Neutral = 4, Positive = 5"
KOG,"KOG : Negative = 11, Neutral = 10, Positive = 5"
Kalypso Media Digital,"Kalypso Media Digital : Negative = 0, Neutral = 1, Positive = 0"
Kaos Studios,"Kaos Studios : Negative = 1, Neutral = 0, Positive = 0"
"Kaos Studios,Digital Extremes","Kaos Studios,Digital Extremes : Negative = 4, Neutral = 2, Positive = 0"
Katauri,"Katauri : Negative = 7, Neutral = 0, Positive = 1"
Katauri Interactive,"Katauri Interactive : Negative = 1, Neutral = 0, Positive = 0"
Keen Games,"Keen Games : Negative = 1, Neutral = 2, Positive = 1"
Keen Software House,"Keen Software House : Negative = 7, Neutral = 5, Positive = 2"
Kerberos Productions,"Kerberos Productions : Negative = 0, Neutral = 1, Positive = 0"
Kerberos Productions Inc.,"Kerberos Productions Inc. : Negative = 1, Neutral = 0, Positive = 0"
Key17 Games,"Key17 Games : Negative = 0, Neutral = 0, Positive = 1"
KillHouse Games,"KillHouse Games : Negative = 7, Neutral = 1, Positive = 1"
Kinelco &amp; Lone Elk Creative,"Kinelco &amp; Lone Elk Creative : Negative = 1, Neutral = 2, Positive = 0"
KintoGames,"KintoGames : Negative = 1, Neutral = 2, Positive = 0"
Kittehface Software,"Kittehface Software : Negative = 0, Neutral = 1, Positive = 0"
Klei Entertainment,"Klei Entertainment : Negative = 91, Neutral = 20, Positive = 24"
"Klei Entertainment,Capybara Games","Klei Entertainment,Capybara Games : Negative = 3, Neutral = 1, Positive = 0"
Kloonigames,"Kloonigames : Negative = 2, Neutral = 0, Positive = 0"
Knuckle Cracker,"Knuckle Cracker : Negative = 3, Neutral = 0, Positive = 0"
"Koboldgames,Daedalic Entertainment","Koboldgames,Daedalic Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Koga Tech Limited,"Koga Tech Limited : Negative = 1, Neutral = 0, Positive = 0"
Kojima Productions,"Kojima Productions : Negative = 15, Neutral = 1, Positive = 2"
Konami Digital Entertainment,"Konami Digital Entertainment : Negative = 19, Neutral = 23, Positive = 14"
Konsordo,"Konsordo : Negative = 2, Neutral = 2, Positive = 1"
Konstantin Koshutin,"Konstantin Koshutin : Negative = 1, Neutral = 1, Positive = 2"
Kot in Action Creative Artel,"Kot in Action Creative Artel : Negative = 0, Neutral = 0, Positive = 1"
Krillbite Studio,"Krillbite Studio : Negative = 6, Neutral = 1, Positive = 0"
Krome Studios,"Krome Studios : Negative = 1, Neutral = 0, Positive = 2"
Kronosaur Productions,"Kronosaur Productions : Negative = 0, Neutral = 1, Positive = 0"
Kudosoft,"Kudosoft : Negative = 3, Neutral = 0, Positive = 0"
Kukouri,"Kukouri : Negative = 2, Neutral = 1, Positive = 1"
Kyle Seeley,"Kyle Seeley : Negative = 69, Neutral = 43, Positive = 40"
Kylotonn Entertainment,"Kylotonn Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Kylotonn Racing Games,"Kylotonn Racing Games : Negative = 0, Neutral = 1, Positive = 0"
LGK Games,"LGK Games : Negative = 1, Neutral = 0, Positive = 0"
LUCKY GIRLS LIMITED,"LUCKY GIRLS LIMITED : Negative = 1, Neutral = 0, Positive = 0"
Lab Zero Games,"Lab Zero Games : Negative = 31, Neutral = 10, Positive = 28"
Labyrinthine,"Labyrinthine : Negative = 1, Neutral = 0, Positive = 1"
Lag Studios,"Lag Studios : Negative = 8, Neutral = 6, Positive = 4"
"Lamina Studios,Mike Studios","Lamina Studios,Mike Studios : Negative = 1, Neutral = 0, Positive = 0"
Laminar Research,"Laminar Research : Negative = 3, Neutral = 0, Positive = 0"
Landfall,"Landfall : Negative = 3, Neutral = 0, Positive = 0"
Landon Podbielski,"Landon Podbielski : Negative = 4, Neutral = 4, Positive = 2"
Larian Studios,"Larian Studios : Negative = 10, Neutral = 3, Positive = 7"
"Laser Guided Games, LLC","Laser Guided Games, LLC : Negative = 1, Neutral = 0, Positive = 0"
Last Day of Work,"Last Day of Work : Negative = 1, Neutral = 0, Positive = 0"
Last Dimension,"Last Dimension : Negative = 1, Neutral = 0, Positive = 0"
Lavaboots Studios,"Lavaboots Studios : Negative = 1, Neutral = 3, Positive = 0"
Lazy 8 Studios,"Lazy 8 Studios : Negative = 2, Neutral = 0, Positive = 0"
Lazy Bum Games,"Lazy Bum Games : Negative = 1, Neutral = 0, Positive = 0"
Lazy Monday Games,"Lazy Monday Games : Negative = 2, Neutral = 0, Positive = 0"
League of Geeks,"League of Geeks : Negative = 3, Neutral = 0, Positive = 0"
Legend Studio,"Legend Studio : Negative = 1, Neutral = 0, Positive = 0"
Lemondo Entertainment,"Lemondo Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Lesley Dodd,"Lesley Dodd : Negative = 0, Neutral = 1, Positive = 1"
Lesta Studio,"Lesta Studio : Negative = 0, Neutral = 2, Positive = 0"
"Level Up Labs, LLC","Level Up Labs, LLC : Negative = 2, Neutral = 0, Positive = 0"
Lightbulb Crew,"Lightbulb Crew : Negative = 1, Neutral = 0, Positive = 1"
Lighthouse Games Studio,"Lighthouse Games Studio : Negative = 1, Neutral = 0, Positive = 0"
Lightmare Studio,"Lightmare Studio : Negative = 0, Neutral = 1, Positive = 0"
Lightmare Studios,"Lightmare Studios : Negative = 4, Neutral = 1, Positive = 0"
Limasse Five,"Limasse Five : Negative = 1, Neutral = 0, Positive = 0"
Limbic Entertainment,"Limbic Entertainment : Negative = 1, Neutral = 2, Positive = 0"
Lino Slahuschek,"Lino Slahuschek : Negative = 8, Neutral = 1, Positive = 5"
Lion's Shade,"Lion's Shade : Negative = 3, Neutral = 0, Positive = 0"
Lionhead Studios,"Lionhead Studios : Negative = 13, Neutral = 4, Positive = 3"
Lionheart Creations,"Lionheart Creations : Negative = 1, Neutral = 0, Positive = 0"
Little Green Men Games,"Little Green Men Games : Negative = 2, Neutral = 2, Positive = 1"
Locomotivah,"Locomotivah : Negative = 1, Neutral = 1, Positive = 0"
Lonely Troops,"Lonely Troops : Negative = 1, Neutral = 1, Positive = 0"
Looking Glass Studios,"Looking Glass Studios : Negative = 5, Neutral = 1, Positive = 1"
Lord Kres,"Lord Kres : Negative = 2, Neutral = 2, Positive = 1"
Loren Lemcke,"Loren Lemcke : Negative = 1, Neutral = 0, Positive = 0"
Lost Decade Games,"Lost Decade Games : Negative = 1, Neutral = 0, Positive = 0"
Love Conquers All Games,"Love Conquers All Games : Negative = 5, Neutral = 1, Positive = 0"
LuGus Studios,"LuGus Studios : Negative = 3, Neutral = 1, Positive = 0"
"Luc Bernard,SilverSphereStudios","Luc Bernard,SilverSphereStudios : Negative = 0, Neutral = 0, Positive = 1"
LucasArts,"LucasArts : Negative = 15, Neutral = 4, Positive = 3"
"LucasArts,Aspyr Studios","LucasArts,Aspyr Studios : Negative = 3, Neutral = 3, Positive = 2"
"Lucid Games,Aspyr (Mac &amp; Linux)","Lucid Games,Aspyr (Mac &amp; Linux) : Negative = 2, Neutral = 1, Positive = 0"
Lucky Frame,"Lucky Frame : Negative = 0, Neutral = 0, Positive = 1"
Ludosity,"Ludosity : Negative = 0, Neutral = 1, Positive = 2"
Lukewarm Media,"Lukewarm Media : Negative = 17, Neutral = 6, Positive = 1"
Lunar Giant,"Lunar Giant : Negative = 0, Neutral = 1, Positive = 0"
"M2 Co.,LTD","M2 Co.,LTD : Negative = 2, Neutral = 1, Positive = 0"
"M2H,Blackmill Games","M2H,Blackmill Games : Negative = 45, Neutral = 15, Positive = 18"
MAGES. Inc.,"MAGES. Inc. : Negative = 1, Neutral = 1, Positive = 1"
MAGIX Software GmbH,"MAGIX Software GmbH : Negative = 1, Neutral = 0, Positive = 0"
MEGAFUZZ,"MEGAFUZZ : Negative = 0, Neutral = 1, Positive = 1"
MOONSTONE,"MOONSTONE : Negative = 1, Neutral = 0, Positive = 0"
MR-Software GbR,"MR-Software GbR : Negative = 5, Neutral = 1, Positive = 0"
MURA Interactive,"MURA Interactive : Negative = 1, Neutral = 0, Positive = 0"
Machine Games,"Machine Games : Negative = 30, Neutral = 4, Positive = 5"
MachineGames,"MachineGames : Negative = 4, Neutral = 0, Positive = 0"
MachineSpirit,"MachineSpirit : Negative = 1, Neutral = 0, Positive = 0"
"Maciej Targoni,Wojciech Wasiak","Maciej Targoni,Wojciech Wasiak : Negative = 6, Neutral = 1, Positive = 1"
Mad Otter Games,"Mad Otter Games : Negative = 4, Neutral = 4, Positive = 1"
Madruga Works,"Madruga Works : Negative = 1, Neutral = 1, Positive = 0"
MagicalTimeBean,"MagicalTimeBean : Negative = 1, Neutral = 0, Positive = 0"
Malfador Machinations,"Malfador Machinations : Negative = 2, Neutral = 0, Positive = 0"
Mana Games,"Mana Games : Negative = 1, Neutral = 0, Positive = 0"
Manic Game Studios,"Manic Game Studios : Negative = 1, Neutral = 1, Positive = 0"
"Mario von Rickenbach,Michael Frei","Mario von Rickenbach,Michael Frei : Negative = 4, Neutral = 2, Positive = 1"
Martin Ivanov,"Martin Ivanov : Negative = 1, Neutral = 1, Positive = 0"
Marxnet,"Marxnet : Negative = 1, Neutral = 0, Positive = 1"
"Masangsoft, Inc.","Masangsoft, Inc. : Negative = 19, Neutral = 15, Positive = 17"
Masthead Studios Ltd,"Masthead Studios Ltd : Negative = 2, Neutral = 3, Positive = 1"
"Matt Kap,Nicalis, Inc.","Matt Kap,Nicalis, Inc. : Negative = 1, Neutral = 0, Positive = 0"
Matt Roszak,"Matt Roszak : Negative = 5, Neutral = 1, Positive = 2"
Matt Thorson,"Matt Thorson : Negative = 1, Neutral = 1, Positive = 1"
Matthew Brown,"Matthew Brown : Negative = 7, Neutral = 1, Positive = 1"
Matthew C Cohen,"Matthew C Cohen : Negative = 1, Neutral = 0, Positive = 0"
Maxis™,"Maxis™ : Negative = 22, Neutral = 4, Positive = 9"
Mechanist Games,"Mechanist Games : Negative = 1, Neutral = 3, Positive = 2"
"Mediatonic,Hato Moa,The Irregular Corporation","Mediatonic,Hato Moa,The Irregular Corporation : Negative = 6, Neutral = 2, Positive = 1"
"Mediatonic,The Irregular Corporation","Mediatonic,The Irregular Corporation : Negative = 1, Neutral = 0, Positive = 0"
Megadev,"Megadev : Negative = 4, Neutral = 2, Positive = 1"
Memetic Games,"Memetic Games : Negative = 1, Neutral = 1, Positive = 0"
MercurySteam,"MercurySteam : Negative = 1, Neutral = 1, Positive = 1"
MercurySteam - Climax Studios,"MercurySteam - Climax Studios : Negative = 1, Neutral = 0, Positive = 0"
Meridian4,"Meridian4 : Negative = 3, Neutral = 4, Positive = 1"
Messhof,"Messhof : Negative = 13, Neutral = 4, Positive = 4"
Meteoric Games,"Meteoric Games : Negative = 0, Neutral = 1, Positive = 0"
Michael Todd Games,"Michael Todd Games : Negative = 13, Neutral = 3, Positive = 1"
"Michael Todd Games,Yazar Media Group LLC","Michael Todd Games,Yazar Media Group LLC : Negative = 1, Neutral = 0, Positive = 0"
Michael Zahniser,"Michael Zahniser : Negative = 5, Neutral = 1, Positive = 0"
Michaela Laws,"Michaela Laws : Negative = 3, Neutral = 0, Positive = 1"
"MicroProse Software, Inc","MicroProse Software, Inc : Negative = 3, Neutral = 3, Positive = 0"
Microblast Games,"Microblast Games : Negative = 11, Neutral = 6, Positive = 5"
Microsoft Game Studios,"Microsoft Game Studios : Negative = 7, Neutral = 1, Positive = 0"
"Midgar Studio,Fusty Game","Midgar Studio,Fusty Game : Negative = 2, Neutral = 0, Positive = 0"
Might and Delight,"Might and Delight : Negative = 8, Neutral = 2, Positive = 4"
Mighty Rabbit Studios,"Mighty Rabbit Studios : Negative = 3, Neutral = 0, Positive = 0"
"Mighty Rabbit Studios,Gun Media","Mighty Rabbit Studios,Gun Media : Negative = 1, Neutral = 0, Positive = 0"
"Mighty Rabbit Studios,Gun.","Mighty Rabbit Studios,Gun. : Negative = 3, Neutral = 0, Positive = 0"
Mighty Rocket Studio,"Mighty Rocket Studio : Negative = 1, Neutral = 0, Positive = 0"
"Milan Kazarka,Jeroen van Oosten","Milan Kazarka,Jeroen van Oosten : Negative = 2, Neutral = 1, Positive = 0"
Milestone S.r.l.,"Milestone S.r.l. : Negative = 5, Neutral = 0, Positive = 0"
Milkstone Studios,"Milkstone Studios : Negative = 7, Neutral = 2, Positive = 2"
Mimimi Productions,"Mimimi Productions : Negative = 2, Neutral = 0, Positive = 0"
MinMax Games Ltd.,"MinMax Games Ltd. : Negative = 4, Neutral = 1, Positive = 0"
Mindstorm Studios,"Mindstorm Studios : Negative = 1, Neutral = 0, Positive = 0"
"Mine Loader Software Co., Ltd.","Mine Loader Software Co., Ltd. : Negative = 12, Neutral = 4, Positive = 4"
MiniBoss,"MiniBoss : Negative = 5, Neutral = 1, Positive = 1"
Minor Key Games,"Minor Key Games : Negative = 15, Neutral = 5, Positive = 3"
Minority Media Inc.,"Minority Media Inc. : Negative = 3, Neutral = 0, Positive = 0"
Mint Age Studios,"Mint Age Studios : Negative = 5, Neutral = 2, Positive = 0"
Mirillis,"Mirillis : Negative = 2, Neutral = 0, Positive = 0"
Mirko Seithe,"Mirko Seithe : Negative = 1, Neutral = 0, Positive = 0"
Misfits Attic,"Misfits Attic : Negative = 1, Neutral = 1, Positive = 1"
"Mithis Games,THQ Nordic","Mithis Games,THQ Nordic : Negative = 1, Neutral = 0, Positive = 0"
Mixamo,"Mixamo : Negative = 1, Neutral = 0, Positive = 0"
MoaCube,"MoaCube : Negative = 1, Neutral = 0, Positive = 0"
MobileBits,"MobileBits : Negative = 0, Neutral = 1, Positive = 0"
Mode 7,"Mode 7 : Negative = 8, Neutral = 2, Positive = 1"
Modern Dream,"Modern Dream : Negative = 5, Neutral = 1, Positive = 0"
MoeNovel,"MoeNovel : Negative = 2, Neutral = 1, Positive = 2"
Mohawk Games,"Mohawk Games : Negative = 2, Neutral = 1, Positive = 0"
Moment Studio,"Moment Studio : Negative = 0, Neutral = 1, Positive = 0"
Mommy's Best Games,"Mommy's Best Games : Negative = 1, Neutral = 1, Positive = 0"
"Monochrome, Inc","Monochrome, Inc : Negative = 27, Neutral = 12, Positive = 8"
Monolith,"Monolith : Negative = 0, Neutral = 1, Positive = 0"
Monolith Productions,"Monolith Productions : Negative = 0, Neutral = 0, Positive = 1"
"Monolith Productions, Inc.","Monolith Productions, Inc. : Negative = 37, Neutral = 12, Positive = 35"
"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)","Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 1, Neutral = 1, Positive = 1"
"Monolith Productions, Inc.,Timegate","Monolith Productions, Inc.,Timegate : Negative = 5, Neutral = 0, Positive = 3"
"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)","Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 61, Neutral = 21, Positive = 11"
Moonlite Software,"Moonlite Software : Negative = 1, Neutral = 0, Positive = 0"
Moppin,"Moppin : Negative = 1, Neutral = 2, Positive = 0"
Mossmouth,"Mossmouth : Negative = 16, Neutral = 7, Positive = 4"
Most Wanted Entertainment,"Most Wanted Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Mouldy Toof Studios,"Mouldy Toof Studios : Negative = 26, Neutral = 10, Positive = 12"
Mountain Sheep,"Mountain Sheep : Negative = 1, Neutral = 0, Positive = 0"
MovingBlocks,"MovingBlocks : Negative = 1, Neutral = 0, Positive = 1"
Mr. Blue,"Mr. Blue : Negative = 3, Neutral = 1, Positive = 1"
MuHa Games,"MuHa Games : Negative = 1, Neutral = 0, Positive = 0"
Murudai,"Murudai : Negative = 6, Neutral = 0, Positive = 0"
